iter	RMSE
350	79.37037141
351	79.35130405
352	79.31630406
353	79.2615045
354	79.2233689
355	79.19217875
356	79.16644828
357	79.1473862
358	79.1017446
359	79.06981293
360	79.03491479
361	79.01018382
362	78.95873026
363	78.92873307
364	78.89404676
365	78.86267687
366	78.81882208
367	78.7874862
368	78.73700801
369	78.70121107
370	78.67335321
371	78.65400618
372	78.60546771
373	78.5869421
374	78.54687764
375	78.50973148
376	78.49574248
377	78.46445092
378	78.40758441
379	78.3444238
380	78.27867876
381	78.25697012
382	78.24279796
383	78.21369859
384	78.16980333
385	78.14402661
386	78.12546779
387	78.09729645
388	78.07254741
389	78.03509677
390	78.0104843
391	77.95681032
392	77.93053701
393	77.89595594
394	77.8607561
395	77.83424048
396	77.81400033
397	77.77975368
398	77.72593232
399	77.68328929
400	77.63284652
401	77.60804794
402	77.58587369
403	77.56741772
404	77.50997017
405	77.49138131
406	77.46910837
407	77.41193973
408	77.38850021
409	77.35482902
410	77.32610718
411	77.2906838
412	77.25522589
413	77.22939387
414	77.21598239
415	77.16439792
416	77.13445737
417	77.09580721
418	77.05763108
419	77.03359341
420	77.00433242
421	76.98849708
422	76.97737538
423	76.93239331
424	76.90241888
425	76.88428345
426	76.82979718
427	76.80259481
428	76.76727966
429	76.70847486
430	76.65509228
431	76.61708004
432	76.59929595
433	76.57312693
434	76.52669518
435	76.49024466
436	76.45245468
437	76.41688385
438	76.39408553
439	76.37276615
440	76.33973067
441	76.2981206
442	76.27364136
443	76.24390254
444	76.20369469
445	76.17707894
446	76.16338737
447	76.1266047
448	76.10168516
449	76.07220608
450	76.06020636
451	76.0050962
452	75.99083493
453	75.97736401
454	75.95605465
455	75.92858051
456	75.88740697
457	75.85083264
458	75.80465025
459	75.78964684
460	75.76311583
461	75.70325012
462	75.63213812
463	75.61497026
464	75.59919511
465	75.57307545
466	75.55026169
467	75.53834978
468	75.52211367
469	75.45897204
470	75.43702932
471	75.40168621
472	75.37941981
473	75.35484932
474	75.3146677
475	75.29721031
476	75.22655702
477	75.19994643
478	75.17507416
479	75.15428575
480	75.13749636
481	75.10919725
482	75.0707297
483	75.01786183
484	75.00245988
485	74.95537281
486	74.94053453
487	74.92064827
488	74.90528609
489	74.89070393
490	74.87813862
491	74.85477709
492	74.83929791
493	74.81997103
494	74.7976889
495	74.77090162
496	74.74272143
497	74.71573623
498	74.69021366
499	74.68006746
